PN,Exercise,Description,Execute x1,Calories Burned (per rep.),Sets,Reps,Calories Burned (per workout),TCB
5plan,Bodyweight Rows,Back-strengthening exercise using a bar or rings.,"1. Hang from a bar or rings with arms extended, palms facing away from you. 2. Pull your chest towards the bar or rings by bending your elbows. 3. Lower yourself back down with control.",1,3,12,72,
5plan,Mountain Climbers,"Dynamic exercise targeting multiple muscle groups, performed from a plank position.","1. Start in a plank position with hands shoulder-width apart. 2. Drive one knee towards your chest, then quickly switch legs. 3. Continue alternating at a rapid pace.",1,3,20,60,
5plan,Wall Angels,Shoulder and back exercise performed against a wall.,"1. Stand with your back against a wall, feet hip-width apart. 2. Raise arms overhead, elbows bent at 90 degrees and pressed against the wall. 3. Slide arms up and down along the wall in a snow angel motion.",1,3,15,45,
,,,,,,,,
6plan,Squat Jumps,Explosive lower body exercise combining a squat with a jump.,1. Start in a squat position with feet shoulder-width apart. 2. Push through heels to jump explosively into the air. 3. Land softly back into the squat position.,2,3,12,72,516
6plan,Tricep Dips,Upper body exercise targeting the triceps.,"1. Sit on the edge of a sturdy chair or bench with hands placed next to hips, fingers pointing towards feet. 2. Lift hips off the chair and walk feet forward. 3. Lower body by bending elbows. 4. Push back up to starting position.",1,3,12,36,
6plan,Box Step-Ups,Lower body exercise involving stepping onto a box or bench.,"1. Stand facing a sturdy box or bench. 2. Step onto the box with one foot, driving through the heel to lift your body up. 3. Step back down with the same foot. Repeat on the other side.",2,3,24,144,
6plan,Reverse Lunges,Lower body exercise where you step backward and lower your body.,"1. Stand tall with feet hip-width apart. 2. Take a step backward with one leg, lowering your hips until both knees are bent at 90 degrees. 3. Push back up to the starting position.",2,3,24,144,
6plan,Plank Jacks,Dynamic core exercise involving jumping legs in and out from a plank position.,"1. Start in a plank position with hands shoulder-width apart. 2. Jump both feet out wide, then quickly jump them back together. 3. Continue at a rapid pace.",2,3,20,120,
,,,,,,,,
7plan,Jumping Lunges,Lower body exercise combining lunges with explosive jumps.,"1. Start in a lunge position with one foot forward and one foot back. 2. Jump explosively into the air, switching legs mid-air. 3. Land softly and immediately lower into the next lunge.",2,3,24,144,786
7plan,Pike Push-Ups,"Upper body exercise targeting shoulders and triceps, performed in pike position.","1. Start in a push-up position with hands shoulder-width apart and hips lifted into a pike position. 2. Lower your head towards the ground, keeping elbows close to your body.",2,3,12,72,
7plan,Side Planks,Core-strengthening exercise involving holding a side plank position.,"1. Lie on your side with legs straight and feet stacked. 2. Lift your hips off the ground, supporting your body weight on your forearm and feet. 3. Hold for the desired duration.",2,3,60,360,
7plan,Mountain Climbers with Twist,"Dynamic exercise targeting core muscles, performed from a plank position.","1. Start in a plank position with hands shoulder-width apart. 2. Drive one knee towards your chest, then rotate your torso to bring that knee towards the opposite elbow. 3. Alternate sides.",2,3,20,120,
7plan,Star Jumps,Full-body exercise involving jumping and spreading limbs outward.,"1. Start in a standing position with feet together and arms at your sides. 2. Jump explosively into the air, spreading arms and legs outwards. 3. Land softly and immediately repeat.",2,3,15,90,
,,,,,,,,
8plan,Burpees,"Full-body exercise combining a squat, push-up, and jump.",1. Start in a standing position. 2. Drop into a squat position and place hands on the ground. 3. Kick feet back into a plank position. 4. Perform a push-up. 5. Jump feet back to squat position. 6. Jump up explosively.,2,3,12,72,405
8plan,Diamond Push-Ups,Variation of push-ups targeting the triceps more intensely.,"1. Start in a push-up position with hands close together, forming a diamond shape with thumbs and index fingers touching. 2. Lower your chest towards your hands, keeping elbows close to your body.",2,3,12,72,
8plan,Walking Lunges,Lower body exercise where you step forward and lower your body.,1. Stand tall with feet hip-width apart. 2. Take a step forward with one leg and lower your hips until both knees are bent at 90 degrees. 3. Push back up to the starting position.,2,3,24,144,
8plan,Leg Raises,"Core exercise targeting the lower abdominals, involving lifting legs towards the ceiling while lying on your back.","1. Lie on your back with legs straight. 2. Keeping legs straight, lift them towards the ceiling. 3. Lower legs back down with control.",1,3,15,45,
8plan,Plank to Push-Up,Dynamic exercise transitioning from a plank to a push-up position.,1. Start in a plank position with hands directly under shoulders and body in a straight line. 2. Push up onto hands into a push-up position. 3. Return to plank position.,2,3,12,72,
,,,,,,,,
9plan,Box Jumps,Explosive lower body exercise involving jumping onto a box.,"1. Stand facing a sturdy box or platform at a comfortable distance. 2. Bend your knees and swing your arms back. 3. Explosively jump onto the box, landing with both feet.",2,3,12,72,646
9plan,Russian Twists with Medicine Ball,"Core exercise targeting the obliques, involving twisting motion with a medicine ball.","1. Sit on the floor with knees bent and feet lifted off the ground, holding a medicine ball with both hands. 2. Lean back slightly and clasp hands together. 3. Twist torso side to side, touching the ball to the floor.",2,3,40,240,
9plan,Shoulder Taps,Core exercise involving alternating taps on shoulders in a plank position.,1. Start in a plank position with hands directly under shoulders and body in a straight line. 2. Lift one hand off the ground and tap opposite shoulder. 3. Return hand to starting position and repeat on the other side.,2,3,40,240,
9plan,Jump Rope,Cardiovascular exercise involving jumping over a rotating rope.,1. Hold the handles of the jump rope in each hand. 2. Swing the rope over your head and jump over it with both feet. 3. Continue jumping for the desired duration.,2,3,2,4,
9plan,Glute Bridges,Lower body exercise targeting the glutes and hamstrings.,"1. Lie on your back with knees bent and feet flat on the floor. 2. Lift your hips towards the ceiling by squeezing your glutes. 3. Hold for a moment, then lower back down.",2,3,15,90,
,,,,,,,,
10plan,Mountain Climbers,"Dynamic exercise targeting multiple muscle groups, performed from a plank position.","1. Start in a plank position with hands shoulder-width apart. 2. Drive one knee towards your chest, then quickly switch legs. 3. Continue alternating at a rapid pace.",1,3,20,60,360
10plan,Spiderman Crawls,Full-body exercise involving crawling on hands and feet with knees bent to the side.,"1. Start in a plank position with hands shoulder-width apart and body in a straight line. 2. Bring right knee towards right elbow, then step forward. 3. Repeat with left knee",2,3,20,120,
10plan,Lying Leg Raises,"Core exercise targeting the lower abdominals, involving lifting legs towards the ceiling while lying on your back.","1. Lie on your back with legs straight. 2. Keeping legs straight, lift them towards the ceiling. 3. Lower legs back down with control.",2,3,15,90,
10plan,Bear Crawls,Full-body exercise involving crawling on hands and feet.,"1. Start on your hands and feet with your hips lifted, forming a tabletop position. 2. Crawl forward by moving opposite hand and foot at the same time. 3. Continue crawling for the desired distance or time.",2,3,10,60,
10plan,Wall Walks,Upper body and core exercise involving walking up and down a wall from a plank position.,1. Start in a plank position facing away from a wall with feet against the wall and hands on the ground. 2. Walk feet up the wall while walking hands towards the wall until you're in an inverted position. 3. Reverse the movement to return to plank position.,2,3,5,30,
,,,,,,,,
11plan,Wide Push-Ups,"Variation of push-ups targeting chest and shoulders more, performed with hands placed wider than shoulder-width apart.","1. Start in a push-up position with hands placed wider than shoulder-width apart. 2. Lower your chest towards the ground, keeping elbows at a 45-degree angle. 3. Push back up to starting position.",2,3,12,72,180
11plan,Bodyweight Rows,Back-strengthening exercise using a bar or rings.,"1. Hang from a bar or rings with arms extended, palms facing away from you. 2. Pull your chest towards the bar or rings by bending your elbows. 3. Lower yourself back down with control.",1,3,10,30,
11plan,Jumping Jacks,"Classic cardio exercise involving jumping to spread legs and arms wide, then returning to a standing position.",1. Start in a standing position with feet together and arms at your sides. 2. Jump while spreading legs and arms wide. 3. Return to the starting position with feet together and arms at your sides.,2,3,30,3,
11plan,Walking Lunges,Lower body exercise where you step forward and lower your body.,1. Stand tall with feet hip-width apart. 2. Take a step forward with one leg and lower your hips until both knees are bent at 90 degrees. 3. Push back up to the starting position.,2,3,24,72,
11plan,Plank,Core-strengthening exercise where you hold a position similar to a push-up but with your body supported on your forearms.,1. Start in a push-up position but with your weight supported on your forearms instead of your hands. 2. Keep your body in a straight line from head to heels. 3. Hold for the desired duration.,1,3,45,3,
,,,,,,,,
12plan,Pike Push-Ups,"Upper body exercise targeting shoulders and triceps, performed in pike position.","1. Start in a push-up position with hands shoulder-width apart and hips lifted into a pike position. 2. Lower your head towards the ground, keeping elbows close to your body. 3. Push back up to starting position.",2,3,12,72,396
12plan,Reverse Lunges,Lower body exercise where you step backward and lower your body.,"1. Stand tall with feet hip-width apart. 2. Take a step backward with one leg, lowering your hips until both knees are bent at 90 degrees. 3. Push back up to the starting position.",2,3,24,72,
12plan,Russian Twists,"Core exercise targeting the obliques, involving twisting motion.","1. Sit on the floor with knees bent and feet lifted off the ground. 2. Lean back slightly and clasp hands together. 3. Twist torso to the right, then to the left, while keeping core engaged.",1,3,40,120,
12plan,Box Jumps,Explosive lower body exercise involving jumping onto a box.,"1. Stand facing a sturdy box or platform at a comfortable distance. 2. Bend your knees and swing your arms back. 3. Explosively jump onto the box, landing with both feet.",2,3,10,60,
12plan,Superman Push-Ups,Dynamic exercise combining a push-up with a Superman pose.,"1. Start in a push-up position with hands slightly wider than shoulder-width apart. 2. Lower your chest towards the ground, then explosively push up while lifting your arms and legs off the ground.",2,3,12,72,
,,,,,,,,
13plan,Diamond Push-Ups,Variation of push-ups targeting the triceps more intensely.,"1. Start in a push-up position with hands close together, forming a diamond shape with thumbs and index fingers touching. 2. Lower your chest towards your hands, keeping elbows close to your body. 3. Push back up to starting position.",2,3,12,72,352
13plan,Bulgarian Split Squats,"Lower body exercise targeting quadriceps and glutes, performed with one foot elevated behind you.",1. Stand a couple of feet in front of a bench or elevated surface with one foot resting on it. 2. Lower your body until your front thigh is parallel to the ground. 3. Push through your front heel to return to the starting position.,2,3,24,72,
13plan,Mountain Climber Push-Ups,Dynamic exercise combining mountain climbers with push-ups.,"1. Start in a push-up position with hands shoulder-width apart. 2. Perform one push-up. 3. After returning to the starting position, drive one knee towards your chest, then quickly switch legs. 4. Continue alternating knee drives at a rapid pace.",2,3,12,72,
13plan,Bicycle Crunches,"Abdominal exercise involving a twisting motion, mimicking the movement of pedaling a bicycle.",1. Lie on your back with knees bent and hands behind your head. 2. Lift your shoulder blades off the ground and bring your right elbow towards your left knee while straightening your right leg. 3. Repeat on the other side in a pedaling motion.,1,3,40,120,
13plan,Jump Rope,Cardiovascular exercise involving jumping over a rotating rope.,1. Hold the handles of the jump rope in each hand. 2. Swing the rope over your head and jump over it with both feet. 3. Continue jumping for the desired duration.,2,3,2,16,
,,,,,,,,
14plan,Bodyweight Hamstring Curl,Hamstring-strengthening exercise performed lying down.,"1. Lie on your back with knees bent and feet flat on the ground. 2. Lift your hips towards the ceiling, keeping your upper back on the ground. 3. Extend your legs, then bend your knees to return to the starting position.",2,3,12,72,344
14plan,Clamshells,Hip-strengthening exercise targeting the gluteus medius.,"1. Lie on your side with hips and knees bent, stacking legs on top of each other. 2. Keeping your feet together, open your top knee as far as possible without moving your pelvis. 3. Return to the starting position.",1,3,30,90,
14plan,Single-Leg Glute Bridges,"Lower body exercise targeting the glutes, hamstrings, and lower back.",1. Lie on your back with knees bent and feet flat on the ground. 2. Lift one leg off the ground and extend it straight in front of you. 3. Push through the heel of your grounded foot to lift your hips towards the ceiling. 4. Lower hips back down and repeat on the other side.,2,3,24,144,
14plan,Side Planks,Core-strengthening exercise involving holding a side plank position.,"1. Lie on your side with legs straight and feet stacked. 2. Lift your hips off the ground, supporting your body weight on your forearm and feet. 3. Hold for the desired duration.",2,3,60,8,
14plan,Wall Walks,Upper body and core exercise involving walking up and down a wall from a plank position.,1. Start in a plank position facing away from a wall with feet against the wall and hands on the ground. 2. Walk feet up the wall while walking hands towards the wall until you're in an inverted position. 3. Reverse the movement to return to plank position.,2,3,5,30,
,,,,,,,,
15plan,Archer Push-Ups,Variation of push-ups focusing on one side at a time.,1. Start in a plank position with hands wider than shoulder-width apart. 2. Lower your chest towards one hand while keeping the other arm straight. 3. Push back up to starting position. Repeat on the other side.,2,3,12,72,450
15plan,Bird Dogs,Core exercise involving extending opposite arm and leg while balancing on hands and knees.,"1. Start on your hands and knees in a tabletop position. 2. Extend one arm forward and the opposite leg backward while keeping your torso stable. 3. Hold for a moment, then return to the starting position.",2,3,24,144,
15plan,Glute Bridges,Lower body exercise targeting the glutes and hamstrings.,"1. Lie on your back with knees bent and feet flat on the floor. 2. Lift your hips towards the ceiling, squeezing your glutes at the top. 3. Lower back down to the starting position.",2,3,15,90,
15plan,Box Step-Ups,Lower body exercise involving stepping onto and off of a raised platform.,"1. Stand in front of a sturdy box or bench. 2. Step onto the box with one foot, driving through the heel. 3. Bring the other foot up, then step back down one foot at a time.",2,3,24,72,
15plan,Lying Leg Raises,"Core exercise targeting the lower abdominals, involving lifting legs towards the ceiling while lying on your back.","1. Lie on your back with legs straight. 2. Keeping legs straight, lift them towards the ceiling. 3. Lower legs back down with control.",2,3,12,72,
,,,,,,,,
16plan,Commando Pull-Ups,"Upper body exercise targeting the back and arms, performed by alternating hand positions while pulling up.","1. Start hanging from a pull-up bar with a wider grip. 2. Pull yourself up until your chin reaches the bar. 3. Lower yourself down, then repeat with a closer grip.",2,3,8,48,402
16plan,Russian Leg Curl,"Hamstring-strengthening exercise performed using bodyweight, focusing on eccentric contraction.","1. Kneel on a soft surface and hook your feet under a sturdy object. 2. Slowly lower your upper body forward, bending at the hips. 3. Use your hamstrings to control the descent.",2,3,12,72,
16plan,Tuck Jumps,Explosive lower body exercise involving jumping and bringing knees up towards the chest.,"1. Start in a standing position with feet shoulder-width apart. 2. Jump explosively into the air, bringing your knees towards your chest. 3. Land softly and immediately prepare for the next jump.",2,3,12,72,
16plan,Shoulder Taps,"Core and shoulder-stabilizing exercise performed from a plank position, involving tapping opposite shoulders.",1. Start in a plank position with hands directly under shoulders. 2. Lift one hand and tap the opposite shoulder. 3. Return to the starting position and repeat with the other hand.,2,3,30,90,
16plan,Mountain Climbers with Twist,"Dynamic exercise targeting multiple muscle groups, performed by bringing alternating knees towards the chest and twisting the torso.","1. Start in a plank position with hands shoulder-width apart. 2. Drive one knee towards your chest, then quickly switch legs. 3. At the top of the movement, twist your torso to bring the knee towards the opposite elbow.",2,3,20,120,
,,,,,,,,
17plan,Bulgarian Split Squat Jumps,Explosive lower body exercise involving jumping from a split squat position.,"1. Start in a split squat position with one foot forward and the other back. 2. Explosively jump into the air, switching the position of your feet. 3. Land softly in the opposite split squat position.",2,3,12,72,205
17plan,Wall Sits,"Lower body exercise targeting the quadriceps, hamstrings, and glutes, involving holding a seated position against a wall.",1. Lean your back against a wall and slide down until knees are bent at a 90-degree angle. 2. Hold the position for the desired duration.,1,3,45,3,
17plan,Reverse Planks,Core-strengthening exercise involving holding a plank position with the body facing upwards.,"1. Start seated on the floor with legs extended and hands placed behind you, fingers pointing towards your body. 2. Lift your hips towards the ceiling, creating a straight line from head to heels. 3. Hold for the desired duration.",2,3,30,4,
17plan,Scapular Push-Ups,"Upper body exercise targeting the muscles surrounding the shoulder blades, involving controlled movement of the scapulae.",1. Start in a plank position with hands directly under shoulders. 2. Push through the shoulders to lift the upper back towards the ceiling. 3. Lower back down with control.,1,3,12,36,
17plan,V-Ups,"Core exercise involving lifting the upper and lower body simultaneously to form a ""V"" shape.","1. Lie on your back with arms extended overhead and legs straight. 2. Lift your upper body and legs simultaneously, forming a ""V"" shape. 3. Lower back down with control to complete one repetition.",2,3,15,90,
,,,,,,,,
18plan,Spiderman Crawls,"Dynamic full-body exercise performed from a plank position, involving bringing alternating knees towards the elbows.","1. Start in a plank position with hands directly under shoulders. 2. Drive one knee towards the same side elbow, then quickly switch legs. 3. Continue alternating at a rapid pace.",2,3,20,120,498
18plan,Good Mornings,"Lower body exercise targeting the hamstrings and lower back, involving hip hinge movement with a slight bend in the knees.","1. Stand with feet shoulder-width apart and hands behind your head or clasped in front of your chest. 2. Hinge at the hips, lowering your torso towards the ground while keeping your back straight. 3. Return to the starting position.",2,3,12,72,
18plan,Side Plank Hip Dips,"Core-strengthening exercise performed from a side plank position, involving lowering and raising the hips.",1. Start in a side plank position with elbow directly under shoulder and body in a straight line. 2. Lower your hips towards the ground. 3. Lift your hips back up to the starting position.,2,3,24,144,
18plan,Clapping Push-Ups,Explosive upper body exercise involving pushing off the ground with enough force to clap hands together in mid-air.,"1. Start in a push-up position with hands shoulder-width apart. 2. Lower your chest towards the ground. 3. Push explosively off the ground, clapping hands together before returning to the starting position.",2,3,12,72,
18plan,Grasshoppers,"Dynamic full-body exercise performed from a plank position, involving bringing alternating feet towards the outside of the same side hand.","1. Start in a plank position with hands directly under shoulders. 2. Drive one foot towards the outside of the same side hand, then quickly switch legs. 3. Continue alternating at a rapid pace.",2,3,15,90,
,,,,,,,,
19plan,Jump Squats,Explosive lower body exercise involving a squat followed by a jump.,1. Start in a squat position with feet shoulder-width apart. 2. Push through the heels to jump explosively into the air. 3. Land softly back into the squat position.,2,3,12,72,330
19plan,Inchworms with Shoulder Taps,"Full-body exercise involving a forward fold, walkout to plank, and shoulder taps.","1. Start standing with feet hip-width apart. 2. Hinge at the hips to reach towards the ground, keeping legs straight. 3. Walk hands forward into a plank position. 4. Tap one shoulder with the opposite hand, then alternate. 5. Walk hands back to feet and return to standing position.",2,3,10,60,
19plan,Hanging Leg Raises,"Core exercise targeting the lower abdominals, involving hanging from a bar and lifting legs towards the chest.","1. Hang from a pull-up bar with palms facing away and legs straight. 2. Keeping legs straight, lift them towards the chest. 3. Lower legs back down with control.",2,3,12,72,
19plan,Star Jumps,Explosive full-body exercise involving jumping and extending arms and legs outwards to form a star shape.,1. Start in a standing position with feet together and arms at your sides. 2. Jump explosively into the air while spreading arms and legs outwards. 3. Land softly with feet together and arms at your sides.,2,3,15,90,
19plan,Wall Angels,"Shoulder mobility exercise performed against a wall, involving raising and lowering the arms while keeping contact with the wall.","1. Stand with back against a wall and feet hip-width apart. 2. Raise arms overhead, keeping elbows and wrists in contact with the wall. 3. Lower arms back down, maintaining contact with the wall throughout.",1,3,12,36,
,,,,,,,,
20plan,Archer Pull-Ups,"Upper body exercise targeting one side at a time, performed by pulling up towards one hand while keeping the other arm straight.",1. Start hanging from a pull-up bar with hands wider than shoulder-width apart. 2. Pull yourself up towards one hand while keeping the other arm straight. 3. Lower yourself back down and repeat on the other side.,2,3,10,60,356
20plan,Hanging Knee Raises,"Core exercise targeting the lower abdominals, involving hanging from a bar and bringing knees towards the chest.",1. Hang from a pull-up bar with palms facing away and legs straight. 2. Bend knees and lift them towards the chest. 3. Lower legs back down with control.,2,3,12,72,
20plan,Box Jumps,"Explosive lower body exercise targeting the quadriceps, hamstrings, glutes, and calves.","1. Stand facing a sturdy box or platform, with your feet shoulder-width apart. 2. Lower yourself into a quarter squat position. 3. Explosively jump upwards onto the box, fully extending your hips. 4. Step back down and repeat.",2,3,12,72,
20plan,Side Plank Leg Lifts,"Core-strengthening exercise performed from a side plank position, involving lifting the top leg while maintaining stability.","1. Start in a side plank position with elbow directly under shoulder and body in a straight line. 2. Lift the top leg towards the ceiling, keeping the rest of the body stable. 3. Lower the leg back down with control.",2,3,24,144,
20plan,Shadow Boxing,Cardiovascular exercise involving simulated boxing movements without a partner or equipment.,"1. Stand in a fighting stance with feet shoulder-width apart and knees slightly bent. 2. Punch forward with one arm while simultaneously stepping forward with the opposite foot. 3. Repeat with the other arm and foot, alternating sides.",2,3,1,8,
,,,,,,,,
21plan,Bodyweight Rows,A back-strengthening exercise performed by pulling your body weight towards a bar while lying under it at an angle.,"1. Lie under a sturdy bar or table with arms extended, gripping the bar with palms facing you. 2. Pull your chest towards the bar. 3. Lower yourself back down with control.",1,3,12,36,375
21plan,Walking Lunges,"Lower body exercise where you step forward or backward with one leg and lower your body, targeting the legs and glutes.","1. Stand tall with feet hip-width apart. 2. Take a step forward or backward with one leg, lowering your hips until both knees are bent at 90 degrees. 3. Push back up to the starting position.",2,3,24,144,
21plan,Plank,"Core-strengthening exercise where you maintain a position similar to a push-up, but with your body supported on your forearms.",1. Start in a push-up position but with your weight supported on your forearms instead of your hands. 2. Keep your body in a straight line from head to heels. 3. Hold for the desired duration.,1,3,45,3,
21plan,Russian Twists,"Abdominal exercise where you curl your upper body toward your knees, targeting the obliques and rectus abdominis.","1. Sit on the floor with knees bent and feet flat on the floor. 2. Place hands behind your head or clasp hands together. 3. Lift your shoulders off the floor and twist your torso to the right, then to the left. 4. Repeat for the desired number of reps or time.",1,3,40,120,
21plan,Superman Push-Ups,"Full-body exercise combining a push-up with an explosive jump, great for cardiovascular fitness and muscle endurance.","1. Start in a push-up position. 2. Perform a push-up. 3. Explosively push off the ground, lifting both hands and feet off the ground. 4. Land softly and immediately lower into the next push-up.",2,3,12,72,
,,,,,,,,
22plan,Pike Push-Ups,"Upper body exercise targeting the shoulders, chest, and triceps, performed with the hips raised in a pike position.","1. Start in a push-up position with your hands on the ground and your hips raised, forming an inverted V shape. 2. Lower your upper body towards the ground by bending your elbows. 3. Push back up to the starting position.",2,3,12,72,438
22plan,Reverse Lunges,"Lower body exercise targeting the quadriceps, hamstrings, and glutes, performed by stepping back into a lunge position.",1. Stand tall with feet hip-width apart. 2. Step back with one leg and lower your body until both knees are bent at a 90-degree angle. 3. Push back up to the starting position.,2,3,24,144,
22plan,Russian Twists,Abdominal exercise involving twisting the torso from side to side while holding a weight or bodyweight.,"1. Sit on the floor with knees bent and feet lifted off the ground. 2. Lean back slightly and clasp hands together. 3. Twist torso to the right, then to the left, while keeping core engaged.",1,3,40,120,
22plan,Box Jumps,"Explosive lower body exercise targeting the quadriceps, hamstrings, glutes, and calves.","1. Stand facing a sturdy box or platform, with your feet shoulder-width apart. 2. Lower yourself into a quarter squat position. 3. Explosively jump upwards onto the box, fully extending your hips. 4. Step back down and repeat.",2,3,10,30,
22plan,Superman Push-Ups,"Full-body exercise combining a push-up with an explosive jump, great for cardiovascular fitness and muscle endurance.","1. Start in a push-up position. 2. Perform a push-up. 3. Explosively push off the ground, lifting both hands and feet off the ground. 4. Land softly and immediately lower into the next push-up.",2,3,12,72,
,,,,,,,,
23plan,Diamond Push-Ups,"Variation of push-ups that targets the triceps more intensely, performed with hands close together in a diamond shape.","1. Start in a push-up position with hands close together, forming a diamond shape with thumbs and index fingers touching. 2. Lower your chest towards your hands, keeping elbows close to your body. 3. Push back up to starting position.",2,3,12,72,424
23plan,Bulgarian Split Squats,"Lower body exercise targeting the quadriceps, hamstrings, and glutes, performed with one foot elevated behind you.",1. Stand a few feet in front of a bench or elevated surface. 2. Place one foot behind you on the bench. 3. Lower your body until your front thigh is parallel to the ground. 4. Push back up to starting position.,2,3,24,144,
23plan,Mountain Climber Push-Ups,"Combination exercise that involves performing a push-up followed by mountain climbers, targeting the upper body, core, and cardiovascular system.","1. Start in a push-up position with your hands on the ground. 2. Perform a push-up. 3. After returning to the starting position, bring one knee towards the chest, then switch legs in a running motion. 4. Continue alternating legs for the desired number of reps.",2,3,12,72,
